qid,ref,data,answer
1,0,This is the first question?,4
1,1,This is not the answer x,0
1,2,This is not the answer y,0
1,3,This is not the answer z,0
1,4,This is the answer,0
2,0,This is the second question?,2
2,1,This is not the answer x,0
2,2,This is the answer,0
2,3,This is not the answer y,0
2,4,This is not the answer z,0
3,0,This is the third question?,3
3,1,This is not the answer x,0
3,2,This is not the answer y,0
3,3,Tihs is the answer,0
3,4,This is not the answer z,0
4,0,This is the Fourth question?,1
4,1,Tihs is the answer,0
4,2,This is not the answer x,0
4,3,Tihs is not the answer y,0
4,4,This is not the answer z,0
5,0,This is the Fifth question?,1
5,1,Tihs is the answer,0
5,2,This is not the answer x,0
5,3,Tihs is not the answer y,0
5,4,This is not the answer z,0
6,0,This is the Fifth question?,3
6,1,This is not the answer x,0
6,2,This is not the answer y,0
6,3,Tihs is the answer,0
6,4,This is not the answer z,0
